t,U,E_s,E_w,phi_w
0,0,1,0.99999931469186587,8.0624486372414457e-08
50,0.0052359309032708476,0.99996872569492179,0.20252776486123558,0.093820262957501704
100,0.0055825211075437933,0.99840848086637213,0.20251957229898898,0.093821226788354251
150,0.005674788462529912,0.99779424748269663,0.20251957229898898,0.093821226788354251
200,0.0056861793701098919,0.99778329236373742,0.20251957229898898,0.093821226788354251
250,0.0056865648564039493,0.99778309991823777,0.20251957229898898,0.093821226788354251
300,0.0056865795134166813,0.99778307469262706,0.20251957229898898,0.093821226788354251
350,0.0056865807593744931,0.99778307297376756,0.20251957229898898,0.093821226788354251
400,0.0056865808353409944,0.99778307290865542,0.20251957229898898,0.093821226788354251
450,0.0056865808387779621,0.9977830729051882,0.20251957229898898,0.093821226788354251
500,0.0056865808389653921,0.99778307290494894,0.20251957229898898,0.093821226788354251
550,0.0056865808389767623,0.99778307290493584,0.20251957229898898,0.093821226788354251
600,0.0056865808389776531,0.99778307290493518,0.20251957229898898,0.093821226788354251
650,0.0056865808389775663,0.99778307290493518,0.20251957229898898,0.093821226788354251
700,0.0056865808389775499,0.99778307290493518,0.20251957229898898,0.093821226788354251
750,0.005686580838977601,0.99778307290493518,0.20251957229898898,0.093821226788354251
800,0.005686580838977516,0.99778307290493518,0.20251957229898898,0.093821226788354251
850,0.0056865808389774813,0.99778307290493518,0.20251957229898898,0.093821226788354251
900,0.0056865808389776531,0.99778307290493518,0.20251957229898898,0.093821226788354251
950,0.0056865808389775846,0.99778307290493518,0.20251957229898898,0.093821226788354251
1000,0.0056865808389776184,0.99778307290493518,0.20251957229898898,0.093821226788354251
1050,0.0056865808389774813,0.99778307290493518,0.20251957229898898,0.093821226788354251
1100,0.0056865808389775663,0.99778307290493518,0.20251957229898898,0.093821226788354251
1150,0.0056865808389775846,0.99778307290493518,0.20251957229898898,0.093821226788354251
1200,0.0056865808389775663,0.99778307290493518,0.20251957229898898,0.093821226788354251
1250,0.0056865808389777546,0.99778307290493518,0.20251957229898898,0.093821226788354251
1300,0.005686580838977516,0.99778307290493518,0.20251957229898898,0.093821226788354251
1350,0.0056865808389775663,0.99778307290493518,0.20251957229898898,0.093821226788354251
1400,0.0056865808389776349,0.99778307290493518,0.20251957229898898,0.093821226788354251
1450,0.0056865808389774978,0.99778307290493518,0.20251957229898898,0.093821226788354251
1500,0.0056865808389776184,0.99778307290493518,0.20251957229898898,0.093821226788354251
