t,U,E_s,E_w,phi_w
0,0,0.99999962328709124,0,0
50,0.030489114041874724,0.7168973423984224,0,0
100,0.047793180899306648,0.71124012686215055,0,0
150,0.054680271200129603,0.7087188943048659,0,0
200,0.05638599411232631,0.70795772836804705,0,0
250,0.056711723823479304,0.70780981075089122,0,0
300,0.056788879531570281,0.70777723125306591,0,0
350,0.056806891370467925,0.70776941016889516,0,0
400,0.056810884056213776,0.70776766286465975,0,0
450,0.056811789146854266,0.7077672707576329,0,0
500,0.056811995499683583,0.70776718121012006,0,0
550,0.056812042157799308,0.70776716092018399,0,0
600,0.056812052724423349,0.70776715633084009,0,0
650,0.056812055121344296,0.70776715528989986,0,0
700,0.056812055664490969,0.70776715505393328,0,0
750,0.05681205578756323,0.70776715500047138,0,0
800,0.056812055815458909,0.70776715498835441,0,0
850,0.056812055821780845,0.70776715498560816,0,0
900,0.056812055823213747,0.70776715498498577,0,0
950,0.056812055823538599,0.70776715498484466,0,0
1000,0.05681205582361229,0.7077671549848128,0,0
1050,0.056812055823628818,0.70776715498480525,0,0
1100,0.056812055823632537,0.70776715498480369,0,0
1150,0.056812055823633384,0.70776715498480347,0,0
1200,0.056812055823633613,0.70776715498480336,0,0
1250,0.056812055823633439,0.70776715498480325,0,0
1300,0.056812055823633578,0.70776715498480325,0,0
1350,0.056812055823633564,0.70776715498480325,0,0
1400,0.056812055823633613,0.70776715498480325,0,0
1450,0.056812055823633481,0.70776715498480325,0,0
1500,0.056812055823633675,0.70776715498480325,0,0
