cap_s,dm
0.052706100410152681,1.7347234759768071e-18
0.0050939612509046132,-4.3774662714102242e-18
0.0018208801162743423,1.6330795223062911e-18
0.00089483167009773502,-2.2361669807513529e-19
0.00051719572116448384,1.9905274260476058e-18
0.00032880422652746858,-1.3281476612947429e-18
0.00022343517148578837,6.9202591790676338e-19
0.0001596497947832384,1.0333801956502464e-19
0.00011858400822506581,-1.8854953405880726e-18
9.0834825482143258e-05,-1.2082924992582594e-18
7.13443913335539e-05,1.5513408428962511e-18
5.7213660267145275e-05,4.9987649382212535e-18
4.669335254209977e-05,-7.2544136767594553e-18
3.8682562297941973e-05,3.4558944247975454e-18
3.2463442330741578e-05,-3.8095306802762158e-18
2.7553449527073753e-05,6.2125631516366658e-18
2.3619512317087532e-05,2.1874625862842306e-19
2.0426334982399611e-05,-4.6467168695186849e-18
1.7804257958081142e-05,1.123800962769643e-18
1.5628704540666835e-05,1.5414940848844198e-18
1.380670215283316e-05,4.0149361699853836e-19
1.2267842057691749e-05,-3.9447383144816835e-18
1.0958092500475774e-05,6.2471856233556854e-18
9.8354870136202698e-06,-6.1633028917979079e-18
8.8670696394744086e-06,2.4198804860769301e-18
