m,Rtr,dH,tau_s,cap_s,tr,dm
0.00099144119832562678,0.039168491507217768,0.00083150849278223332,0.96945563611502505,0.0011571785926206941,0.00016632528142142909,-1.0842021724855044e-19
0.00091039233059671807,0.039237127490818424,0.00076287250918157662,0.98325118806888245,0.0010804134670061079,0.00015272843295813582,5.4210108624275222e-20
0.00083472009751332137,0.039301102085151127,0.00069889791484887415,0.99613156816818427,0.001007547550068948,0.00014003357472081412,7.0473141211557788e-19
0.00076415139823312597,0.039360668367163301,0.00063933163283669964,1.0081432616626844,0.00093875883299508116,0.00012819489100750469,-5.9631119486702744e-19
0.00069840066539900256,0.039416086846774973,0.00058391315322502829,1.0193348757621099,0.00087411969499632115,0.00011716447471981189,-9.4867690092481638e-19
0.00063717726220888639,0.039467619470764485,0.00053238052923551549,1.0297558805604292,0.00081361709811939649,0.00010689356830360416,-2.7105054312137611e-19
0.00058019146503982639,0.039515524852646651,0.00048447514735334984,1.039455590716865,0.0007571712573211331,9.733356740070098e-05,6.2341624917916505e-19
0.00052715913841877007,0.039560054616833554,0.0004399453831664471,1.0484823697161929,0.00070465222164987928,8.8436805127178284e-05,2.7105054312137611e-20
0.00047780524864619818,0.03960145071805888,0.00039854928194112127,1.0568830318051416,0.00065589411627900657,8.0157141522792222e-05,-7.1828393927164669e-19
0.00043186637990677757,0.039639943587379274,0.00036005641262072674,1.0647024137182353,0.00061070702290953955,7.245038565651318e-05,1.5585406229479126e-18
0.00038909241827582593,0.039675750958836437,0.00032424904116356429,1.0719830880383951,0.0005688866273337223,6.5274578137327642e-05,-1.6669608401964631e-18
0.0003492475600097454,0.039709077241586094,0.00029092275841390708,1.0787651915730494,0.00053022185220291912,5.8590160266154744e-05,2.1684043449710089e-18
0.00031211078523684884,0.039740113317427286,0.00025988668257271447,1.0850863447258807,0.00049450073565235515,5.2360053502772613e-05,-7.7249404789592191e-19
0.00027747591990895262,0.039769036660595294,0.00023096333940470642,1.0909816409519055,0.00046151482639655524,4.6549669858856668e-05,-1.1384122811097797e-18
0.00024515138992017296,0.039796011693638542,0.0002039883063614592,1.0964836886095719,0.00043106235477135559,4.1126870648696007e-05,7.1828393927164669e-19
0.00021495975312567356,0.039821190309082155,0.00017880969091784576,1.101622690617146,0.00040295041581327347,3.6061887980133298e-05,-8.0637536578609392e-19
0.00018673707845745028,0.039844712500781122,0.00015528749921887852,1.1064265501351414,0.00037699637119830006,3.1327220594326531e-05,1.2807138162485021e-18
0.00016033222684821801,0.039866707061134092,0.00013329293886590876,1.1109209929622437,0.00035302864600266068,2.6897513232747785e-05,4.0657581468206416e-20
0.0001356060763500621,0.039887292310642905,0.0001127076893570958,1.1151296994300153,0.0003308870664877491,2.2749426642216563e-05,-4.6417405509535659e-19
0.00011243072359467384,0.039906576834780216,9.3423165219784499e-05,1.1190744403245503,0.00031042285797137383,1.8861503610985048e-05,8.4025668367626594e-19
9.0688685402643058e-05,0.039924660209962472,7.5339790037529109e-05,1.1227752127827666,0.00029149839804204958,1.5214035029822247e-05,-1.6229151269392394e-18
7.0272117677694555e-05,0.03994163370583869,5.8366294161310561e-05,1.1262503732465889,0.00027398680009059885,1.1788928852826542e-05,8.1823382704765413e-19
5.1082063470321917e-05,0.039957580955322529,4.2419044677471929e-05,1.1295167654520999,0.00025777138524261055,8.5695839517628235e-06,1.1163894244811678e-18
3.3027738027335941e-05,0.039972578587026866,2.7421412973134551e-05,1.1325898421232445,0.0002427450869699699,5.5407701751632659e-06,-1.3433942543453203e-18
1.6025855542529575e-05,0.039986696817192531,1.3303182807469782e-05,1.1354837795674686,0.00022880982155447168,2.688515403264776e-06,2.6639186191147746e-19
