x,w
1.0887496574324636e-07,0.00044992695155408321
1.2905775142076739e-07,0.00063151655202251531
1.5298193747370034e-07,0.00088600821182490525
1.8134108905171257e-07,0.0012422946245211515
2.1495734151042801e-07,0.0017403569615445889
2.5480523421834144e-07,0.0024351708005809184
3.0203996257515225e-07,0.0034016482633317385
3.58030867271064e-07,0.0047405468146223722
4.2440113164487481e-07,0.006584841779082932
5.0307483797223796e-07,0.0091051708307171002
5.9633274685178258e-07,0.01251132975003089
7.0687841674048701e-07,0.017044158283912224
8.3791658045190569e-07,0.02294859501402903
9.9324605076176113e-07,0.030415510938208112
1.1773698484660308e-06,0.039481130012884315
1.3956257455177287e-06,0.049886117157946192
1.6543410077042708e-06,0.060930215056199534
1.961015822874999e-06,0.071408930635426915
2.3245407323261758e-06,0.079749560020788202
2.7554543687065125e-06,0.084406971340772449
3.2662489722973924e-06,0.084406971340772394
3.8717325426230226e-06,0.079749560020788146
4.589458124211012e-06,0.071408930635426804
5.4402326715513791e-06,0.060930215056199534
6.4487202453128434e-06,0.049886117157946192
7.6441570265502472e-06,0.039481130012884204
9.0611988772545713e-06,0.030415510938208112
1.0740926018131935e-05,0.022948595014029224
1.2732033949346262e-05,0.017044158283911939
1.5092245139167145e-05,0.012511329750031028
1.7889982405553484e-05,0.0091051708307169233
2.1206352502214619e-05,0.0065848417790829008
2.5137497413557209e-05,0.0047405468146224632
2.9797381522852871e-05,0.0034016482633318201
3.5321095453980931e-05,0.0024351708005806794
4.1868772365531876e-05,0.0017403569615447106
4.9630230231128146e-05,0.0012422946245209956
5.8830474686250048e-05,0.00088600821182499426
6.9736221969785364e-05,0.00063151655202260508
8.266363106119541e-05,0.00044992695155415255
