m,Rtr,dH,tau_s,cap_s,tr,dm
0.0013412561555694071,0.03935359468304378,0.00064640531695622089,3.6470151792090681,0.052706100410152681,0.00045232832638357115,1.7347234759768071e-18
0.00020766496075607434,0.039900603071606144,9.9396928393856443e-05,3.9943164031102096,0.0050939612509046132,7.0033411408598742e-05,-4.3774662714102242e-18
9.8105164531167848e-05,0.039953073679437352,4.692632056264856e-05,4.0278825171497061,0.0018208801162743419,3.3085212468699568e-05,1.6330795223062911e-18
5.8942076187383312e-05,0.039971813037074609,2.818696292539169e-05,4.0398810123530708,0.00089483167009773502,1.9877762025324639e-05,-2.2361669807513529e-19
3.9696233786426898e-05,0.039981018865385506,1.898113461449441e-05,4.0457774101474824,0.00051719572116448384,1.3387249644882177e-05,1.9905274260476058e-18
2.8572502170063863e-05,0.039986338692925394,1.3661307074606943e-05,4.0491854161573935,0.00032880422652746858,9.6358566807044433e-06,-1.3281476612947429e-18
2.150065331180651e-05,0.039989720374935638,1.0279625064363307e-05,4.0513520365183817,0.00022343517148578837,7.2509300242905433e-06,6.9202591790676338e-19
1.6695058873270803e-05,0.039992018195294105,7.9818047058963226e-06,4.0528243387360696,0.0001596497947832384,5.6302802471143166e-06,1.0333801956502464e-19
1.3261346262931404e-05,0.039993659962244688,6.340037755313277e-06,4.0538763340210986,0.00011858400822506581,4.4722870689533301e-06,-1.8854953405880726e-18
1.0710867541813379e-05,0.039994879383427634,5.1206165723668984e-06,4.0546577306881124,9.0834825482143258e-05,3.6121577292923003e-06,2.6164847740685337e-18
8.7572121290973597e-06,0.039995813429510391,4.1865704896101863e-06,4.0552562770768059,7.1344391333553846e-05,2.9533024617977709e-06,-2.2738599469041693e-18
7.2227526797126203e-06,0.039996547041972662,3.4529580273390259e-06,4.0557263933296861,5.7213660267145275e-05,2.4358178099894532e-06,4.9987649382212535e-18
5.9922138806528408e-06,0.039997135342745738,2.8646572542631588e-06,4.0561033966382176,4.669335254209977e-05,2.0208280608567581e-06,-1.5178830414797062e-18
4.9879435421759659e-06,0.039997615461800889,2.3845381991113856e-06,4.0564110775017195,3.8682562297941932e-05,1.6821456104165431e-06,-8.0171668457619527e-18
4.1559675152609587e-06,0.039998013206457052,1.9867935429490613e-06,4.0566659721178171,3.2463442330741619e-05,1.4015680918741205e-06,7.6635305902832823e-18
3.4577509503242615e-06,0.039998347001372968,1.6529986270330532e-06,4.0568798865065778,2.7553449527073719e-05,1.1660999235094714e-06,-5.2604981189228323e-18
2.8651374287890757e-06,0.039998630308679908,1.3696913200925143e-06,4.0570614470217601,2.3619512317087572e-05,9.6624556960116954e-07,2.1895801686523664e-19
2.3571341619980394e-06,0.039998873165256063,1.1268347439377657e-06,4.0572170852775171,2.0426334982399618e-05,7.9492537359478001e-07,6.8262385219224064e-18
1.9178090497573997e-06,0.039999083188292414,9.168117075866733e-07,4.0573516824319968,1.7804257958081115e-05,6.4676635719593432e-07,-4.6129414307469196e-18
1.534878992424208e-06,0.039999266250302618,7.3374969738332352e-07,4.0574690016897597,1.5628704540666835e-05,5.176261394687064e-07,-4.1949306712769224e-18
1.1987402586586388e-06,0.039999426942749501,5.7305725049972001e-07,4.0575719853704522,1.3806702152833201e-05,4.0426593586287472e-07,6.138236010515101e-18
9.0178875080818309e-07,0.039999568901051476,4.3109894852511044e-07,4.0576629631608423,1.2267842057691749e-05,3.0412132292046279e-07,-1.2038455762851744e-19
6.3793470681767465e-07,0.039999695036617523,3.0496338247754107e-07,4.0577438007968674,1.0958092500475762e-05,2.1513857519521825e-07,-3.3136987687772297e-18
4.0225046773974081e-07,0.039999807705257039,1.9229474296222904e-07,4.0578160079779639,9.8354870136202749e-06,1.356558775884537e-07,5.3096524996431834e-18
1.9071098011153809e-07,0.039999908831249466,9.1168750535053356e-08,4.057880817870001,8.8670696394743883e-06,6.4315811788304296e-08,-3.316729558541624e-18
