Rtr,dH,tau_s,tau_o,cap_s,tr,dm
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,0.057138333157684823,0,0.00041444337650374064
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,0.00048805387928564241,0,3.5400174710851932e-06
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,4.9833647755815466e-05,0,3.6146005838884822e-07
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,5.960194365306182e-06,0,4.323127646302084e-08
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,8.0001758464766078e-07,0,5.8027942139777001e-09
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,1.1634840898534567e-07,0,8.439137931737073e-10
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,1.7916134926467104e-08,0,1.2995169866664141e-10
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,2.87937855765157e-09,0,2.0885092471499388e-11
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,4.7845274397302059e-10,0,3.4703772362843095e-12
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,8.1662565097856197e-11,0,5.9232580550978368e-13
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,1.424864418696796e-11,0,1.0335016583614095e-13
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,2.5323397584580235e-12,0,1.8367904381348864e-14
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,4.5714654526451726e-13,0,3.3158362749852989e-15
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,8.3640721936861359e-14,0,6.0667403644870106e-16
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,1.5482534855973315e-14,0,1.1229998615532646e-16
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,2.895367565730512e-15,0,2.1001066076765315e-17
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,5.4637023271279878e-16,0,3.9630054212768339e-18
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,1.0393487303576717e-16,0,7.5387427908609789e-19
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,1.9914203277888862e-17,0,1.4444435444228722e-19
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,3.8404519668109231e-18,0,2.785607826593523e-20
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,7.4499547284059531e-19,0,5.4037004963371184e-21
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,1.4529372609170717e-19,0,1.0538638265851829e-21
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,2.8474871683287752e-20,0,2.065377359427805e-22
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,5.6056107563923382e-21,0,4.065936335303243e-23
0.040000000000000001,0,4.0579392464791066,1.1666290574637814,1.1080918977473361e-21,0,8.0373598983273457e-24
