cap_s,dm
0.0011571785926206941,-1.0842021724855044e-19
0.0010804134670061079,5.4210108624275222e-20
0.001007547550068948,-9.4867690092481638e-19
0.00093875883299508278,-5.6920614055488983e-19
0.00087411969499632386,7.1828393927164669e-19
0.00081361709811939649,-2.7105054312137611e-19
0.00075717125732113299,6.2341624917916505e-19
0.00070465222164987928,2.7105054312137611e-20
0.00065589411627900657,9.2157184661267877e-19
0.00061070702290953868,-1.1790698625779861e-18
0.00056888662733372316,1.0842021724855044e-18
0.00053022185220291825,-1.1384122811097797e-18
0.00049450073565235515,-7.7249404789592191e-19
0.00046151482639655633,2.1684043449710089e-18
0.0004310623547713544,-9.4190063734678198e-19
0.00040295041581327342,2.9137933385547932e-19
0.00037699637119829952,1.7618285302889447e-19
0.00035302864600266062,-1.0570971181733668e-18
0.00033088706648774947,6.4035690812425106e-19
0.00031042285797137383,-2.541098841762901e-19
0.00029149839804205001,5.7090020644939843e-19
0.00027398680009059863,-2.7952087259391911e-19
0.00025777138524261045,-5.2854855908668341e-19
0.0002427450869699699,2.9984966332802232e-19
0.00022880982155447171,2.6639186191147746e-19
