x,w
5.4437482871623175e-08,2.4650885715119109e-05
6.4528875710383681e-08,4.1055578936644534e-05
7.6490968736850157e-08,6.8374291950097161e-05
9.067054452585627e-08,0.00011386280441706726
1.0747867075521399e-07,0.00018959122959132693
1.2740261710917069e-07,0.00031562174632501235
1.510199812875761e-07,0.00052525430279075553
1.7901543363553197e-07,0.00087363377622429346
2.1220056582243738e-07,0.001451728084284861
2.5153741898611893e-07,0.0024086301753505237
2.9816637342589129e-07,0.0039860451743730175
3.5343920837024345e-07,0.0065686233329616947
4.1895829022595285e-07,0.010749260422566354
4.9662302538088046e-07,0.01739156627171624
5.8868492423301529e-07,0.027626601818507176
6.9781287275886424e-07,0.042630577305592741
8.271705038521353e-07,0.062925927169099755
9.8050791143749927e-07,0.087049020234314239
1.1622703661630877e-06,0.11020214935345629
1.377727184353256e-06,0.12485782604182692
1.6331244861486958e-06,0.12485782604182698
1.9358662713115109e-06,0.11020214935345612
2.2947290621055056e-06,0.08704902023431435
2.7201163357756896e-06,0.062925927169099574
3.2243601226564213e-06,0.042630577305592839
3.8220785132751227e-06,0.027626601818507016
4.5305994386272848e-06,0.01739156627171639
5.3704630090659665e-06,0.010749260422566433
6.36601697467313e-06,0.0065686233329616183
7.5461225695835706e-06,0.0039860451743727703
8.9449912027767419e-06,0.0024086301753506799
1.0603176251107308e-05,0.0014517280842847547
1.2568748706778603e-05,0.0008736337762244704
1.4898690761426435e-05,0.00052525430279067758
1.7660547726990466e-05,0.0003156217463250066
2.0934386182765935e-05,0.00018959122959128839
2.4815115115564069e-05,0.00011386280441696976
2.9415237343125021e-05,6.8374291950309719e-05
3.4868110984892675e-05,4.1055578936467348e-05
4.1331815530597698e-05,2.4650885715178392e-05
